Board,School,Level,GradeRange,Role,FirstName,LastName,Email,EmailSource,SchoolPhone,SchoolGeneralEmail,SchoolWebsite,Address,Notes,IsChristian
ACSI Eastern Canada,Discipleship Christian Secondary School,High School,9-12,Principal,,,,,,,https://discipleshipchristian.org/,"Kitchener, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Discipleship Christian Secondary School,High School,9-12,Athletic Director,,,,,,,https://discipleshipchristian.org/,"Kitchener, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Discipleship Christian Secondary School,High School,9-12,Vice Principal,,,,,,,https://discipleshipchristian.org/,"Kitchener, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Emmanuel Christian Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://www.emmanuelchristianacademy.ca/,"Madoc, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Emmanuel Christian Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://www.emmanuelchristianacademy.ca/,"Madoc, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Ethnos Academy,K-12,"E, MS, HS",Principal,,,,,,,http://emanatetraining.ca/your-kids/ethnos-academy/,"Durham, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Ethnos Academy,K-12,"E, MS, HS",Athletic Director,,,,,,,http://emanatetraining.ca/your-kids/ethnos-academy/,"Durham, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Ethnos Academy,K-12,"E, MS, HS",Vice Principal,,,,,,,http://emanatetraining.ca/your-kids/ethnos-academy/,"Durham, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Future Hope Academy Christian School,K-12,"MS, HS",Principal,,,,,,,https://futurehopeacademy.com/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Future Hope Academy Christian School,K-12,"MS, HS",Athletic Director,,,,,,,https://futurehopeacademy.com/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Future Hope Academy Christian School,K-12,"MS, HS",Vice Principal,,,,,,,https://futurehopeacademy.com/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Grace Christian Montessori School,Elementary/Middle,"JK, SK, E",Principal,,,,,,,http://www.gcmsschool.com,"Newmarket, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Grace Christian Montessori School,Elementary/Middle,"JK, SK, E",Vice Principal,,,,,,,http://www.gcmsschool.com,"Newmarket, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Innova Academy,K-12,"JK, SK, E, MS, HS",Principal,,,,,,,https://innovaacademy.ca,"Newmarket, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Innova Academy,K-12,"JK, SK, E, MS, HS",Athletic Director,,,,,,,https://innovaacademy.ca,"Newmarket, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Innova Academy,K-12,"JK, SK, E, MS, HS",Vice Principal,,,,,,,https://innovaacademy.ca,"Newmarket, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Lennox & Addington Cornerstone Christian Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://cornerstonenapanee.com/,"Napanee, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Lennox & Addington Cornerstone Christian Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://cornerstonenapanee.com/,"Napanee, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Meadow Green Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://meadowgreenacademy.ca/,"Mississauga, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Meadow Green Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://meadowgreenacademy.ca/,"Mississauga, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Mt. Salem Christian School,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://mtscs.ca/,"Aylmer, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Mt. Salem Christian School,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://mtscs.ca/,"Aylmer, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,New Earth Wonders School,K-12,"E, MS, HS",Principal,,,,,,,https://newearthwondersschool.com,"Etobicoke, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,New Earth Wonders School,K-12,"E, MS, HS",Athletic Director,,,,,,,https://newearthwondersschool.com,"Etobicoke, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,New Earth Wonders School,K-12,"E, MS, HS",Vice Principal,,,,,,,https://newearthwondersschool.com,"Etobicoke, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Newmarket Christian Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://www.ndca.ca/,"Newmarket, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Newmarket Christian Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://www.ndca.ca/,"Newmarket, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Peoples Christian Academy,K-12,"JK, SK, E, MS, HS",Principal,,,,,,,https://peopleschristianacademy.ca/,"Markham, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Peoples Christian Academy,K-12,"JK, SK, E, MS, HS",Athletic Director,,,,,,,https://peopleschristianacademy.ca/,"Markham, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Peoples Christian Academy,K-12,"JK, SK, E, MS, HS",Vice Principal,,,,,,,https://peopleschristianacademy.ca/,"Markham, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Philopateer Christian College,K-12,"JK, SK, E, MS, HS",Principal,,,,,,,https://pccnet.ca/,"Mississauga, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Philopateer Christian College,K-12,"JK, SK, E, MS, HS",Athletic Director,,,,,,,https://pccnet.ca/,"Mississauga, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Philopateer Christian College,K-12,"JK, SK, E, MS, HS",Vice Principal,,,,,,,https://pccnet.ca/,"Mississauga, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Richmond Hill Christian Academy,K-12,"JK, SK, E, MS, HS",Principal,,,,,,,http://rhcaweb.ca/beta/,"Richmond Hill, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Richmond Hill Christian Academy,K-12,"JK, SK, E, MS, HS",Athletic Director,,,,,,,http://rhcaweb.ca/beta/,"Richmond Hill, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Richmond Hill Christian Academy,K-12,"JK, SK, E, MS, HS",Vice Principal,,,,,,,http://rhcaweb.ca/beta/,"Richmond Hill, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Solid Rock Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,http://www.solidrockacademy.ca/,"Etobicoke, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Solid Rock Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,http://www.solidrockacademy.ca/,"Etobicoke, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Stouffville Christian School,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://www.stouffvillechristianschool.com/,"Stouffville, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Stouffville Christian School,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://www.stouffvillechristianschool.com/,"Stouffville, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,True North Christian Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://truenorthacademy.ca/,"Stayner, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,True North Christian Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://truenorthacademy.ca/,"Stayner, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Westminster Classical Christian Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://westminsterclassical.ca/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Westminster Classical Christian Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://westminsterclassical.ca/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Whitefield Christian Academy (JK-8),Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://www.whitefieldchristianschools.ca/,"Scarborough, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Whitefield Christian Academy (JK-8),Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://www.whitefieldchristianschools.ca/,"Scarborough, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Whitefield Christian Collegiate (9-12),High School,9-12,Principal,,,,,,,https://www.whitefieldchristianschools.ca/,"Scarborough, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Whitefield Christian Collegiate (9-12),High School,9-12,Athletic Director,,,,,,,https://www.whitefieldchristianschools.ca/,"Scarborough, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Whitefield Christian Collegiate (9-12),High School,9-12,Vice Principal,,,,,,,https://www.whitefieldchristianschools.ca/,"Scarborough, Ontario",ACSI Eastern Canada member,true
Edvance (OACS),Academia Stella Maris,K-12,K-12,Principal,,,,,343-883-6600,info@academiastellamaris.ca,https://www.academiastellamaris.ca,"45 des Benevoles Street Limoges, ON K0A 2M0 CA",Edvance member,true
Edvance (OACS),Academia Stella Maris,K-12,K-12,Athletic Director,,,,,343-883-6600,info@academiastellamaris.ca,https://www.academiastellamaris.ca,"45 des Benevoles Street Limoges, ON K0A 2M0 CA",Edvance member,true
Edvance (OACS),Academia Stella Maris,K-12,K-12,Vice Principal,,,,,343-883-6600,info@academiastellamaris.ca,https://www.academiastellamaris.ca,"45 des Benevoles Street Limoges, ON K0A 2M0 CA",Edvance member,true
Edvance (OACS),Alliston Community Christian School,Elementary/Middle,Elementary,Principal,,,,,705-434-2227,principal@allistonccs.com,https://www.allistonccs.com,"4428 Adjala - Tecumseth Townline Alliston, ON L9R 1V4 CA",Edvance member,true
Edvance (OACS),Alliston Community Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,705-434-2227,principal@allistonccs.com,https://www.allistonccs.com,"4428 Adjala - Tecumseth Townline Alliston, ON L9R 1V4 CA",Edvance member,true
Edvance (OACS),Base Christian School,Elementary/Middle,Elementary,Principal,,,,,519-744-4522,admin@base.school,https://base.school,"850 Sawmill Rd Bloomingdale, ON N0B 1K0 CA",Edvance member,true
Edvance (OACS),Base Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,519-744-4522,admin@base.school,https://base.school,"850 Sawmill Rd Bloomingdale, ON N0B 1K0 CA",Edvance member,true
Edvance (OACS),Beacon Christian School,Elementary/Middle,Elementary,Principal,,,,,905-937-7411,office@beaconchristian.org,https://www.beaconchristian.org,"300 Scott St. St. Catharines, ON L2N 1J3 CA",Edvance member,true
Edvance (OACS),Beacon Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,905-937-7411,office@beaconchristian.org,https://www.beaconchristian.org,"300 Scott St. St. Catharines, ON L2N 1J3 CA",Edvance member,true
Edvance (OACS),Beacon Hill Christian Academy,Elementary/Middle,Elementary,Principal,,,,,905-392-6590,info@beaconhillca.org,https://www.beaconhillca.org/,"9 Hunters Road Stouffville, ON L4A 2L3 CA",Edvance member,true
Edvance (OACS),Beacon Hill Christian Academy,Elementary/Middle,Elementary,Vice Principal,,,,,905-392-6590,info@beaconhillca.org,https://www.beaconhillca.org/,"9 Hunters Road Stouffville, ON L4A 2L3 CA",Edvance member,true
Edvance (OACS),Belleville Christian School,Elementary/Middle,Elementary,Principal,,,,,613-962-7849,office@bellevillechristianschool.ca,https://www.bellevillechristianschool.ca,"138B Wallbridge Loyalist Rd Belleville, ON K8N 4Z2 CA",Edvance member,true
Edvance (OACS),Belleville Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,613-962-7849,office@bellevillechristianschool.ca,https://www.bellevillechristianschool.ca,"138B Wallbridge Loyalist Rd Belleville, ON K8N 4Z2 CA",Edvance member,true
Edvance (OACS),Brampton Christian School,K-12,K-12,Principal,,,,,905-843-3771,admin@bramptoncs.org,https://www.bramptoncs.org,"12480 Hutchinson Farm Ln Caledon, ON L7C 2B6 CA",Edvance member,true
Edvance (OACS),Brampton Christian School,K-12,K-12,Athletic Director,,,,,905-843-3771,admin@bramptoncs.org,https://www.bramptoncs.org,"12480 Hutchinson Farm Ln Caledon, ON L7C 2B6 CA",Edvance member,true
Edvance (OACS),Brampton Christian School,K-12,K-12,Vice Principal,,,,,905-843-3771,admin@bramptoncs.org,https://www.bramptoncs.org,"12480 Hutchinson Farm Ln Caledon, ON L7C 2B6 CA",Edvance member,true
Edvance (OACS),Brantford Christian School,Elementary/Middle,Elementary,Principal,,,,,519-752-0433,officeadmin@bcsbrantford.ca,https://www.bcsbrantford.ca,"30 Clara Cres. Brantford, ON N3S 7C9 CA",Edvance member,true
Edvance (OACS),Brantford Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,519-752-0433,officeadmin@bcsbrantford.ca,https://www.bcsbrantford.ca,"30 Clara Cres. Brantford, ON N3S 7C9 CA",Edvance member,true
Edvance (OACS),Burlington Christian Academy,Elementary/Middle,Elementary,Principal,,,,,905-639-7364,office@bcaschool.ca,https://onlyatbca.com,"521 North Service Road Burlington, ON L7P 5C3 CA",Edvance member,true
Edvance (OACS),Burlington Christian Academy,Elementary/Middle,Elementary,Vice Principal,,,,,905-639-7364,office@bcaschool.ca,https://onlyatbca.com,"521 North Service Road Burlington, ON L7P 5C3 CA",Edvance member,true
Edvance (OACS),Cairn Christian School - Smithville,Elementary/Middle,Elementary,Principal,,,,,905-957-7796,smithville@cairnchristianschool.ca,https://www.cairnchristianschool.ca,"6470 Townline Road Smithville, ON L0R 2A0 CA",Edvance member,true
Edvance (OACS),Cairn Christian School - Smithville,Elementary/Middle,Elementary,Vice Principal,,,,,905-957-7796,smithville@cairnchristianschool.ca,https://www.cairnchristianschool.ca,"6470 Townline Road Smithville, ON L0R 2A0 CA",Edvance member,true
Edvance (OACS),Cairn Christian School - Stoney Creek,Elementary/Middle,Elementary,Principal,,,,,905-643-2460,stoneycreek@cairnchristianschool.ca,https://www.cairnchristianschool.ca,"795 Highway #8 Stoney Creek, ON L8E 5J3 CA",Edvance member,true
Edvance (OACS),Cairn Christian School - Stoney Creek,Elementary/Middle,Elementary,Vice Principal,,,,,905-643-2460,stoneycreek@cairnchristianschool.ca,https://www.cairnchristianschool.ca,"795 Highway #8 Stoney Creek, ON L8E 5J3 CA",Edvance member,true
Edvance (OACS),Calvin Christian School - Unity Road Campus,Elementary/Middle,Elementary,Principal,,,,,,info@ccshamilton.ca,https://ccshamilton.ca/unity-classrooms.php,"32 Unity Side Road Caledonia, ON N3W 1Y2 CA",Edvance member,true
Edvance (OACS),Calvin Christian School - Unity Road Campus,Elementary/Middle,Elementary,Vice Principal,,,,,,info@ccshamilton.ca,https://ccshamilton.ca/unity-classrooms.php,"32 Unity Side Road Caledonia, ON N3W 1Y2 CA",Edvance member,true
Edvance (OACS),Calvin Christian School - West 5th Campus,Elementary/Middle,Elementary,Principal,,,,,905-388-2645,info@ccshamilton.ca,https://www.ccshamilton.ca,"547 West 5th St. Hamilton, ON L9C 3P7 CA",Edvance member,true
Edvance (OACS),Calvin Christian School - West 5th Campus,Elementary/Middle,Elementary,Vice Principal,,,,,905-388-2645,info@ccshamilton.ca,https://www.ccshamilton.ca,"547 West 5th St. Hamilton, ON L9C 3P7 CA",Edvance member,true
Edvance (OACS),Cambridge Christian School,Elementary/Middle,Elementary,Principal,,,,,519-623-2261,office@cambridgechristianschool.com,https://www.cambridgechristianschool.com,"229 Myers Rd. Cambridge, ON N1R 7H3 CA",Edvance member,true
Edvance (OACS),Cambridge Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,519-623-2261,office@cambridgechristianschool.com,https://www.cambridgechristianschool.com,"229 Myers Rd. Cambridge, ON N1R 7H3 CA",Edvance member,true
Edvance (OACS),Chatham Christian School,K-12,K-12,Principal,,,,,519-352-4980,office@chathamchristian.ca,https://chathamchristian.ca/,"475 Keil Drive South Chatham, ON N7M 6L8 CA",Edvance member,true
Edvance (OACS),Chatham Christian School,K-12,K-12,Athletic Director,,,,,519-352-4980,office@chathamchristian.ca,https://chathamchristian.ca/,"475 Keil Drive South Chatham, ON N7M 6L8 CA",Edvance member,true
Edvance (OACS),Chatham Christian School,K-12,K-12,Vice Principal,,,,,519-352-4980,office@chathamchristian.ca,https://chathamchristian.ca/,"475 Keil Drive South Chatham, ON N7M 6L8 CA",Edvance member,true
Edvance (OACS),Christian Virtual School,K-12,K-12,Principal,,,,,226-458-4202,information@christianvirtualschool.com,https://www.christianvirtualschool.com,"38 Mary Street Clinton, ON N0M 1L0 CA",Edvance member,true
Edvance (OACS),Christian Virtual School,K-12,K-12,Athletic Director,,,,,226-458-4202,information@christianvirtualschool.com,https://www.christianvirtualschool.com,"38 Mary Street Clinton, ON N0M 1L0 CA",Edvance member,true
Edvance (OACS),Christian Virtual School,K-12,K-12,Vice Principal,,,,,226-458-4202,information@christianvirtualschool.com,https://www.christianvirtualschool.com,"38 Mary Street Clinton, ON N0M 1L0 CA",Edvance member,true
Edvance (OACS),City Academy Christian School,Unknown,,Principal,,,,,,info@edvance.ca,,"2700 Argentia Road Mississauga, ON L5N 5V4 CA",Edvance member,true
Edvance (OACS),City Academy Christian School,Unknown,,Vice Principal,,,,,,info@edvance.ca,,"2700 Argentia Road Mississauga, ON L5N 5V4 CA",Edvance member,true
Edvance (OACS),Community Christian School,Elementary/Middle,Elementary,Principal,,,,,613-821-3669,info@communitychristianschool.ca,https://www.communitychristianschool.ca,"2681 Glen St. Metcalfe, ON K0A 2P0 CA",Edvance member,true
Edvance (OACS),Community Christian School,Elementary/Middle,Elementary,Principal,,,,,519-638-2935,office@ccsdrayton.org,https://www.ccsdrayton.org,"Box 141, 35 High St. Drayton, ON N0G 1P0 CA",Edvance member,true
Edvance (OACS),Community Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,613-821-3669,info@communitychristianschool.ca,https://www.communitychristianschool.ca,"2681 Glen St. Metcalfe, ON K0A 2P0 CA",Edvance member,true
Edvance (OACS),Community Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,519-638-2935,office@ccsdrayton.org,https://www.ccsdrayton.org,"Box 141, 35 High St. Drayton, ON N0G 1P0 CA",Edvance member,true
Edvance (OACS),Cornerstone Christian High School,High School,9-12,Principal,,,,,,info@cornerstonechristianhs.ca,https://www.cornerstonechristianhs.ca,"101 Nanticoke Creek Parkway Townsend, ON N0A 1S0 CA",Edvance member,true
Edvance (OACS),Cornerstone Christian High School,High School,9-12,Athletic Director,,,,,,info@cornerstonechristianhs.ca,https://www.cornerstonechristianhs.ca,"101 Nanticoke Creek Parkway Townsend, ON N0A 1S0 CA",Edvance member,true
Edvance (OACS),Cornerstone Christian High School,High School,9-12,Vice Principal,,,,,,info@cornerstonechristianhs.ca,https://www.cornerstonechristianhs.ca,"101 Nanticoke Creek Parkway Townsend, ON N0A 1S0 CA",Edvance member,true
Edvance (OACS),Cornerstone Christian School - Emo,K-12,K-12,Principal,,,,,8074823838,office@cornerstonechristian.ca,https://www.cornerstonechristian.ca,"Box 518, 11 School Street Emo, ON P0W 1E0 CA",Edvance member,true
Edvance (OACS),Cornerstone Christian School - Emo,K-12,K-12,Athletic Director,,,,,8074823838,office@cornerstonechristian.ca,https://www.cornerstonechristian.ca,"Box 518, 11 School Street Emo, ON P0W 1E0 CA",Edvance member,true
Edvance (OACS),Cornerstone Christian School - Emo,K-12,K-12,Vice Principal,,,,,8074823838,office@cornerstonechristian.ca,https://www.cornerstonechristian.ca,"Box 518, 11 School Street Emo, ON P0W 1E0 CA",Edvance member,true
Edvance (OACS),Dunnville Christian School,Elementary/Middle,Elementary,Principal,,,,,905-774-5142,secretary@dunnvillechristianschool.ca,https://www.dunnvillechristianschool.ca,"37 Robinson Rd. RR 1 Dunnville, ON N1A 2W1 CA",Edvance member,true
Edvance (OACS),Dunnville Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,905-774-5142,secretary@dunnvillechristianschool.ca,https://www.dunnvillechristianschool.ca,"37 Robinson Rd. RR 1 Dunnville, ON N1A 2W1 CA",Edvance member,true
Edvance (OACS),Durham Christian High School,High School,9-12,Principal,,,,,905-623-5940,office@dchs.com,https://www.dchs.com,"340 West Scugog Lane Bowmanville, ON L1C 7C1 CA",Edvance member,true
Edvance (OACS),Durham Christian High School,High School,9-12,Athletic Director,Brady,McCann,,,905-623-5940,office@dchs.com,https://www.dchs.com,"340 West Scugog Lane Bowmanville, ON L1C 7C1 CA",Edvance member; web-research-2026,true
Edvance (OACS),Durham Christian High School,High School,9-12,Vice Principal,,,,,905-623-5940,office@dchs.com,https://www.dchs.com,"340 West Scugog Lane Bowmanville, ON L1C 7C1 CA",Edvance member,true
Edvance (OACS),Eben-ezer Christian School,K-12,K-12,Principal,,,,,905-563-3077,principal@ecschool.ca,https://www.ecschool.ca,"4160 Fly Rd Campden, ON L0R 1G0 CA",Edvance member,true
Edvance (OACS),Eben-ezer Christian School,K-12,K-12,Athletic Director,,,,,905-563-3077,principal@ecschool.ca,https://www.ecschool.ca,"4160 Fly Rd Campden, ON L0R 1G0 CA",Edvance member,true
Edvance (OACS),Eben-ezer Christian School,K-12,K-12,Vice Principal,,,,,905-563-3077,principal@ecschool.ca,https://www.ecschool.ca,"4160 Fly Rd Campden, ON L0R 1G0 CA",Edvance member,true
Edvance (OACS),Edvance,K-12,K-12,Principal,,,,,2892037171,info@edvance.ca,https://www.edvance.ca,"1295 North Service Rd., Suite 304 Burlington, ON L7P 0V5 CA",Edvance member,true
Edvance (OACS),Edvance,K-12,K-12,Athletic Director,,,,,2892037171,info@edvance.ca,https://www.edvance.ca,"1295 North Service Rd., Suite 304 Burlington, ON L7P 0V5 CA",Edvance member,true
Edvance (OACS),Edvance,K-12,K-12,Vice Principal,,,,,2892037171,info@edvance.ca,https://www.edvance.ca,"1295 North Service Rd., Suite 304 Burlington, ON L7P 0V5 CA",Edvance member,true
Edvance (OACS),Elora Road Christian School,Elementary/Middle,Elementary,Principal,,,,,519-824-1890,school@ercs.cloud,https://www.eloraroad.ca,"5696 Wellington Road 7, RR 5 Guelph, ON N1H 6J2 CA",Edvance member,true
Edvance (OACS),Elora Road Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,519-824-1890,school@ercs.cloud,https://www.eloraroad.ca,"5696 Wellington Road 7, RR 5 Guelph, ON N1H 6J2 CA",Edvance member,true
Edvance (OACS),Foundation Christian School,Elementary/Middle,Elementary,Principal,,,,,519-664-0110,admin@foundationchristianschool.ca,https://foundationchristianschool.ca,"28 Katherine St. S. Winterbourne, ON N0B 2V0 CA",Edvance member,true
Edvance (OACS),Foundation Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,519-664-0110,admin@foundationchristianschool.ca,https://foundationchristianschool.ca,"28 Katherine St. S. Winterbourne, ON N0B 2V0 CA",Edvance member,true
Edvance (OACS),Great Lakes Christian High School,High School,9-12,Principal,,,,,905-563-5374,kerri.kennedy@glchs.ca,https://glchs.ca/,"4875 King St Beamsville, ON L3J 2J1 CA",Edvance member,true
Edvance (OACS),Great Lakes Christian High School,High School,9-12,Athletic Director,,,,,905-563-5374,kerri.kennedy@glchs.ca,https://glchs.ca/,"4875 King St Beamsville, ON L3J 2J1 CA",Edvance member,true
Edvance (OACS),Great Lakes Christian High School,High School,9-12,Vice Principal,,,,,905-563-5374,kerri.kennedy@glchs.ca,https://glchs.ca/,"4875 King St Beamsville, ON L3J 2J1 CA",Edvance member,true
Edvance (OACS),Guelph Community Christian School,Elementary/Middle,Elementary,Principal,,,,,519-824-8860,info@guelphccs.ca,https://www.guelphccs.ca,"195 College Ave. W Guelph, ON N1G 1S6 CA",Edvance member,true
Edvance (OACS),Guelph Community Christian School,Elementary/Middle,Elementary,Vice Principal,,,,,519-824-8860,info@guelphccs.ca,https://www.guelphccs.ca,"195 College Ave. W Guelph, ON N1G 1S6 CA",Edvance member,true
