run,ok,http_status,ms,task_count,error
11,False,400,24230,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, sequence, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
12,False,400,19780,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
13,False,400,19435,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, reading-comp, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
14,False,400,23847,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, sequence, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
15,False,400,23174,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
16,False,400,19386,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
17,False,400,17240,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
18,False,400,20557,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, reading-comp, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
19,False,400,25003,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, reading-comp, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
20,False,400,23744,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, sequence, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
21,False,400,21368,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, sequence, timeline, matching, open-text, photo, make-and-snap, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
22,False,400,23650,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, sort, sequence, timeline, matching, open-text, photo, make-and-snap, body-break, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
23,False,400,22282,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, sort, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
24,False,400,22502,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, reading-comp, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
25,False,400,25320,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
26,False,400,16576,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, sort, timeline, matching, open-text, photo, make-and-snap, photo-journal, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
